dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes,x,y,z
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,75,O,monomer_O,,3.174713,1.388663,0.183033
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,78,O,monomer_O,,5.282763,1.419539,-0.407943
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,17,O,phenoxy_O,,0.764369,2.359797,-0.214205
ground_states,Zr-salfan-H2-red-CL.out,Zr-salfan-H2-red-CL,Zr,red,CL,,25,O,phenoxy_O,,-0.920718,0.960039,1.534956
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,17,O,alkoxide_O,,0.088604,-2.392391,1.453404
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,35,O,alkoxide_O,,0.281157,-0.165668,-1.643509
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,12,N,donor_N,,0.067243,2.752985,-0.225874
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,14,N,donor_N,,-1.919068,-1.886069,-0.831891
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,1,C,ferrocene_C,,-3.824382,-0.261456,-1.278762
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,2,C,ferrocene_C,,-2.656782,-1.000718,-1.652931
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,3,C,ferrocene_C,,-2.358689,-0.676611,-3.017003
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,4,C,ferrocene_C,,-3.416353,0.145609,-3.522319
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,5,C,ferrocene_C,,-4.322447,0.39868,-2.447895
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,7,C,ferrocene_C,,-2.375301,2.806405,-0.712538
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,8,C,ferrocene_C,,-0.971674,2.710906,-1.066083
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,9,C,ferrocene_C,,-0.941941,2.545888,-2.504677
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,10,C,ferrocene_C,,-2.226139,2.919005,-3.01845
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,11,C,ferrocene_C,,-3.114169,3.087812,-1.906743
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,6,Fe,ferrocene_Fe,,-2.480635,1.187902,-2.029323
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,16,Zr,metal_center,,0.121979,-0.814852,0.280966
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,66,C,monomer_C,,5.000414,-0.940103,0.039064
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,67,C,monomer_C,,3.838889,-0.887023,-0.978095
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,68,C,monomer_C,,6.221035,-1.716945,-0.457298
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,69,C,monomer_C,,5.939092,-3.178988,-0.819971
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,70,C,monomer_C,,4.908514,-3.373561,-1.923405
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,81,C,monomer_C,,3.009409,-2.141908,-1.001883
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,82,O,monomer_O,,3.522805,-3.287467,-1.451745
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,83,O,monomer_O,,1.841177,-2.190644,-0.601422
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,19,O,phenoxy_O,,1.486952,0.408734,1.083347
ground_states,Zr-salfan-ox-CL.out,Zr-salfan-ox-CL,Zr,ox,CL,,27,O,phenoxy_O,,-1.49683,0.102077,1.125863
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,17,O,alkoxide_O,,0.793617,-1.950694,0.883214
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,35,O,alkoxide_O,,0.424168,0.708059,-1.993262
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,12,N,donor_N,,-0.004261,2.255723,0.329772
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,14,N,donor_N,,-1.526128,-1.410175,-1.252714
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,1,C,ferrocene_C,,-3.775701,-0.158194,-1.00522
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,2,C,ferrocene_C,,-2.51793,-0.435605,-1.643339
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,3,C,ferrocene_C,,-2.478405,0.312019,-2.872313
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,4,C,ferrocene_C,,-3.727304,0.993163,-3.019828
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,5,C,ferrocene_C,,-4.523327,0.709478,-1.864429
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,7,C,ferrocene_C,,-2.540279,2.599293,0.437854
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,8,C,ferrocene_C,,-1.277062,2.596757,-0.250077
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,9,C,ferrocene_C,,-1.487724,3.177033,-1.546643
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,10,C,ferrocene_C,,-2.851452,3.609908,-1.623835
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,11,C,ferrocene_C,,-3.500481,3.255756,-0.396687
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,6,Fe,ferrocene_Fe,,-2.792307,1.613986,-1.336294
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,16,Zr,metal_center,,0.382511,-0.195533,-0.158119
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,66,C,monomer_C,,3.640875,-3.401973,0.575484
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,67,C,monomer_C,,3.58539,-2.182645,-0.367183
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,68,C,monomer_C,,4.350908,-4.623433,-0.009693
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,69,C,monomer_C,,3.70925,-5.16585,-1.290782
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,70,C,monomer_C,,3.665318,-4.168439,-2.441399
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,81,C,monomer_C,,2.515258,-2.279734,-1.409801
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,82,O,monomer_O,,2.553878,-3.227015,-2.359413
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,83,O,monomer_O,,1.554213,-1.510152,-1.474591
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,19,O,phenoxy_O,,2.189576,0.508353,0.625318
ground_states,Zr-salfan-red-CL.out,Zr-salfan-red-CL,Zr,red,CL,,27,O,phenoxy_O,,-1.179717,-0.06526,1.241913
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,3,O,alkoxide_O,,0.759,-0.923564,1.918995
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,29,O,alkoxide_O,,1.158729,-0.080021,-1.523557
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,5,N,donor_N,,-0.684027,-1.80877,-0.441109
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,31,N,donor_N,,2.851401,0.120975,0.402666
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,6,C,ferrocene_C,,0.154678,-2.933803,-0.413689
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,7,C,ferrocene_C,,0.512473,-3.704321,0.742393
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,9,C,ferrocene_C,,1.35073,-4.781329,0.304949
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,11,C,ferrocene_C,,1.57686,-4.628248,-1.10236
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,13,C,ferrocene_C,,0.858392,-3.472113,-1.539343
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,32,C,ferrocene_C,,3.354647,-1.168929,0.346689
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,33,C,ferrocene_C,,3.8515,-1.835832,-0.822648
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,35,C,ferrocene_C,,4.289965,-3.140537,-0.435836
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,37,C,ferrocene_C,,4.016542,-3.302459,0.962821
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,39,C,ferrocene_C,,3.374717,-2.112032,1.434108
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,2,Fe,ferrocene_Fe,,2.288286,-3.017316,-0.057525
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,1,Zr,metal_center,,0.365207,0.231124,0.321271
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,72,C,monomer_C,,-2.298651,0.649435,2.23213
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,73,C,monomer_C,,-3.245207,1.456146,3.075096
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,75,C,monomer_C,,-4.437354,2.003067,2.253924
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,78,C,monomer_C,,-4.012068,-1.078035,1.925104
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,79,C,monomer_C,,-5.551045,0.979072,2.020348
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,82,C,monomer_C,,-5.115746,-0.275034,1.256677
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,71,O,monomer_O,,-1.164114,1.052275,1.96338
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,74,O,monomer_O,,-2.674416,-0.522043,1.710715
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,4,O,phenoxy_O,,-1.336401,0.918079,-0.710754
ground_states,Zr-salfen-ox-CL.out,Zr-salfen-ox-CL,Zr,ox,CL,,30,O,phenoxy_O,,1.007576,2.203105,0.575831
ground_states,Zr-salfen-red-CL.out,Zr-salfen-red-CL,Zr,red,CL,,3,O,alkoxide_O,,-0.310577,-0.735973,1.636719
ground_states,Zr-salfen-red-CL.out,Zr-salfen-red-CL,Zr,red,CL,,29,O,alkoxide_O,,1.230409,0.417282,-1.728773
