dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes,x,y,z
catalysts,Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,,,19,O,phenoxy_O,,0.01252,2.352546,1.337274
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,12,O,alkoxide_O,,0.662051,0.544886,2.622795
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,39,S,donor_S,,-1.988983,-0.009419,1.389072
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,40,S,donor_S,,0.984475,-0.138853,-0.894919
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,1,C,ferrocene_C,,-2.143801,-1.647633,-0.97128
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,2,C,ferrocene_C,,-2.205629,-1.499082,0.458169
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,3,C,ferrocene_C,,-2.443308,-2.794743,1.035364
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,4,C,ferrocene_C,,-2.52273,-3.739371,-0.037204
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,5,C,ferrocene_C,,-2.346744,-3.03156,-1.271318
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,7,C,ferrocene_C,,0.956704,-2.961262,-1.167255
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,8,C,ferrocene_C,,1.0065,-1.80458,-0.305969
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,9,C,ferrocene_C,,0.895121,-2.242279,1.060596
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,10,C,ferrocene_C,,0.769968,-3.665531,1.03658
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,11,C,ferrocene_C,,0.811873,-4.108568,-0.326718
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,6,Fe,ferrocene_Fe,,-0.72188,-2.770109,-0.055198
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,44,Al,metal_center,,0.388866,1.289844,1.064542
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,14,O,phenoxy_O,,1.948844,2.148795,0.676541
catalysts,Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,,,21,O,phenoxy_O,,-0.785508,2.507883,0.511108
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,14,O,alkoxide_O,,0.523833,-2.230609,2.537102
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,32,O,alkoxide_O,,-0.268026,-2.538845,-0.043665
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,12,N,donor_N,,0.573437,-0.14323,-1.260203
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,13,N,donor_N,,-2.117488,-0.806037,1.883065
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,1,C,ferrocene_C,,-3.826947,0.173709,0.364218
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,2,C,ferrocene_C,,-3.022831,-0.902186,0.887259
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,3,C,ferrocene_C,,-3.233143,-2.044752,0.028551
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,4,C,ferrocene_C,,-4.283316,-1.723284,-0.887057
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,5,C,ferrocene_C,,-4.645875,-0.354882,-0.684226
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,7,C,ferrocene_C,,-1.535567,1.075399,-1.921165
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,8,C,ferrocene_C,,-0.65585,-0.060947,-1.914857
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,9,C,ferrocene_C,,-1.272937,-1.104052,-2.669722
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,10,C,ferrocene_C,,-2.459501,-0.570236,-3.271101
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,11,C,ferrocene_C,,-2.619104,0.777434,-2.818392
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,6,Fe,ferrocene_Fe,,-2.695128,-0.490338,-1.235716
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,56,Ti,metal_center,,0.755278,-1.374804,0.939524
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,16,O,phenoxy_O,,2.519423,-1.647236,0.512767
catalysts,Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,,,24,O,phenoxy_O,,0.608706,0.387517,1.513935
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,14,O,alkoxide_O,,-0.707888,-2.235393,-2.579997
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,32,O,alkoxide_O,,0.285683,-2.773626,-0.026529
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,12,N,donor_N,,-0.294475,-0.199056,1.12744
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,13,N,donor_N,,1.630329,-0.850115,-1.668126
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,1,C,ferrocene_C,,3.733522,0.165536,-0.5925
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,2,C,ferrocene_C,,2.768517,-0.881956,-0.797635
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,3,C,ferrocene_C,,3.17014,-2.018622,-0.017943
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,4,C,ferrocene_C,,4.381742,-1.67408,0.664585
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,5,C,ferrocene_C,,4.72663,-0.328087,0.314975
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,7,C,ferrocene_C,,1.747223,1.177896,1.785096
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,8,C,ferrocene_C,,0.969117,-0.028458,1.773877
catalysts,Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,,,9,C,ferrocene_C,,1.609754,-0.989287,2.623669
